"instance_id","solver","time","type"
"g16-g51","lad",1,"alg"
"g16-g53","lad",86,"alg"
"g16-g54","lad",43,"alg"
"g16-g56","lad",37,"alg"
"g16-g58-normed","lad",1,"alg"
"g16-g59-normed","lad",1,"alg"
"g16-g60-normed","lad",1e+08,"alg"
"g16-g62","lad",2,"alg"
"g16-g63","lad",6229,"alg"
"g16-g64","lad",1e+08,"alg"
"g16-g68","lad",10694772,"alg"
"g16-g73-normed","lad",1e+08,"alg"
"g16-g74","lad",19,"alg"
"g16-g75","lad",317,"alg"
"g16-g76","lad",1570,"alg"
"g16-g77","lad",5599,"alg"
"g16-g78","lad",502,"alg"
"g16-g81","lad",1509,"alg"
"g16-g82-normed","lad",1524,"alg"
"g16-g84","lad",5931,"alg"
"g16-g87","lad",16,"alg"
"g16-g88","lad",207,"alg"
"g16-g93-normed","lad",5299064,"alg"
"g17-g101","lad",5479,"alg"
"g17-g102","lad",6310,"alg"
"g17-g103","lad",8402,"alg"
"g17-g104","lad",37330,"alg"
"g17-g105","lad",4089301,"alg"
"g17-g106","lad",18155,"alg"
"g17-g107","lad",8592,"alg"
"g17-g108","lad",78193,"alg"
"g17-g109","lad",9623935,"alg"
"g17-g110","lad",18456,"alg"
"g17-g111","lad",11634,"alg"
"g17-g112","lad",647676,"alg"
"g17-g19","lad",11,"alg"
"g17-g22","lad",69,"alg"
"g17-g23","lad",1,"alg"
"g17-g25","lad",1,"alg"
"g17-g26","lad",1,"alg"
"g17-g27","lad",1e+08,"alg"
"g17-g33","lad",2884,"alg"
"g17-g34","lad",244,"alg"
"g17-g35","lad",184,"alg"
"g17-g36","lad",460,"alg"
"g17-g37","lad",7139,"alg"
"g17-g38","lad",1,"alg"
"g17-g41","lad",1388,"alg"
"g17-g42","lad",22845,"alg"
"g17-g43","lad",65,"alg"
"g17-g45","lad",50,"alg"
"g17-g49","lad",75,"alg"
"g17-g51","lad",1e+08,"alg"
"g17-g52","lad",64,"alg"
"g17-g53","lad",179,"alg"
"g17-g54","lad",75,"alg"
"g17-g55","lad",13704,"alg"
"g17-g56","lad",94,"alg"
"g17-g58-normed","lad",10085,"alg"
"g17-g59-normed","lad",8586,"alg"
"g17-g60-normed","lad",1e+08,"alg"
"g17-g62","lad",576368,"alg"
"g17-g65","lad",178349,"alg"
"g17-g66-normed","lad",177722,"alg"
"g17-g67","lad",225,"alg"
"g17-g69","lad",19512,"alg"
"g17-g70","lad",9,"alg"
"g17-g71","lad",44660,"alg"
"g17-g72","lad",0,"alg"
"g17-g73-normed","lad",871699,"alg"
"g17-g74","lad",212,"alg"
"g17-g77","lad",1371,"alg"
"g17-g79","lad",152,"alg"
"g17-g81","lad",307439,"alg"
"g17-g82-normed","lad",305420,"alg"
"g17-g87","lad",951,"alg"
"g17-g88","lad",670,"alg"
"g17-g89","lad",1105,"alg"
"g17-g91","lad",14801,"alg"
"g17-g92","lad",19221,"alg"
"g17-g93-normed","lad",8679,"alg"
"g17-g94","lad",20495,"alg"
"g17-g95","lad",144,"alg"
"g17-g96","lad",187,"alg"
"g17-g97","lad",116,"alg"
"g17-g98","lad",2286,"alg"
"g17-g99","lad",2473,"alg"
"g18-g101","lad",6558,"alg"
"g18-g102","lad",7701,"alg"
"g18-g103","lad",9843,"alg"
"g18-g104","lad",15291094,"alg"
"g18-g105","lad",15383047,"alg"
"g18-g106","lad",4819100,"alg"
"g18-g107","lad",1e+08,"alg"
"g18-g108","lad",1e+08,"alg"
"g18-g109","lad",3841686,"alg"
"g18-g110","lad",19935,"alg"
"g18-g111","lad",5364699,"alg"
"g18-g112","lad",6538,"alg"
"g18-g19","lad",1,"alg"
"g18-g22","lad",1,"alg"
"g18-g23","lad",1,"alg"
"g18-g25","lad",0,"alg"
"g18-g26","lad",1,"alg"
"g18-g27","lad",0,"alg"
"g18-g29","lad",266,"alg"
"g18-g30","lad",2054,"alg"
"g18-g31","lad",73,"alg"
"g18-g33","lad",967,"alg"
"g18-g35","lad",124,"alg"
"g18-g36","lad",239,"alg"
"g18-g37","lad",1263688,"alg"
"g18-g38","lad",1,"alg"
"g18-g39","lad",20,"alg"
"g18-g41","lad",707,"alg"
"g18-g42","lad",1412,"alg"
"g18-g43","lad",1e+08,"alg"
"g18-g44","lad",29635,"alg"
"g18-g45","lad",28741208,"alg"
"g18-g46","lad",1e+08,"alg"
"g18-g47","lad",1e+08,"alg"
"g18-g48","lad",73752480,"alg"
"g18-g49","lad",1e+08,"alg"
"g18-g50","lad",126,"alg"
"g18-g51","lad",2133341,"alg"
"g18-g52","lad",1,"alg"
"g18-g53","lad",71438,"alg"
"g18-g54","lad",18806550,"alg"
"g18-g55","lad",12358,"alg"
"g18-g56","lad",1e+08,"alg"
"g18-g58-normed","lad",2,"alg"
"g18-g59-normed","lad",3,"alg"
"g18-g60-normed","lad",1e+08,"alg"
"g18-g61","lad",139,"alg"
"g18-g62","lad",15888,"alg"
"g18-g63","lad",278,"alg"
"g18-g65","lad",169544,"alg"
"g18-g66-normed","lad",169561,"alg"
"g18-g67","lad",277,"alg"
"g18-g68","lad",488,"alg"
"g18-g69","lad",10371,"alg"
"g18-g71","lad",13084,"alg"
"g18-g72","lad",0,"alg"
"g18-g73-normed","lad",1e+08,"alg"
"g18-g74","lad",152,"alg"
"g18-g75","lad",240,"alg"
"g18-g76","lad",841,"alg"
"g18-g77","lad",1557,"alg"
"g18-g78","lad",653,"alg"
"g18-g81","lad",171492,"alg"
"g18-g82-normed","lad",171184,"alg"
"g18-g87","lad",184085,"alg"
"g18-g88","lad",3649,"alg"
"g18-g89","lad",1311,"alg"
"g18-g91","lad",393,"alg"
"g18-g92","lad",537,"alg"
"g18-g93-normed","lad",10349,"alg"
"g18-g94","lad",9368,"alg"
"g18-g95","lad",21,"alg"
"g18-g96","lad",75,"alg"
"g18-g97","lad",52,"alg"
"g18-g98","lad",784,"alg"
"g18-g99","lad",719,"alg"
"g19-g102","lad",554520,"alg"
"g19-g103","lad",610943,"alg"
"g19-g104","lad",8454,"alg"
"g19-g105","lad",8180,"alg"
"g19-g106","lad",194763,"alg"
"g19-g107","lad",45030,"alg"
"g19-g108","lad",72738,"alg"
"g19-g110","lad",28626831,"alg"
"g19-g111","lad",216807,"alg"
"g19-g112","lad",140,"alg"
"g19-g20","lad",1e+08,"alg"
"g19-g22","lad",0,"alg"
"g19-g23","lad",2,"alg"
"g19-g25","lad",0,"alg"
"g19-g26","lad",1,"alg"
"g19-g27","lad",242320,"alg"
"g19-g29","lad",1e+08,"alg"
"g19-g30","lad",1e+08,"alg"
"g19-g31","lad",1e+08,"alg"
"g19-g37","lad",1054,"alg"
"g19-g38","lad",0,"alg"
"g19-g40","lad",147,"alg"
"g19-g42","lad",123,"alg"
"g19-g43","lad",1e+08,"alg"
"g19-g44","lad",1e+08,"alg"
"g19-g45","lad",1e+08,"alg"
"g19-g46","lad",607425,"alg"
"g19-g47","lad",593006,"alg"
"g19-g48","lad",2658457,"alg"
"g19-g49","lad",23673879,"alg"
"g19-g51","lad",160687,"alg"
"g19-g53","lad",424,"alg"
"g19-g54","lad",2561,"alg"
"g19-g55","lad",526,"alg"
"g19-g56","lad",8166,"alg"
"g19-g58-normed","lad",7,"alg"
"g19-g59-normed","lad",6,"alg"
"g19-g60-normed","lad",1e+08,"alg"
"g19-g62","lad",9,"alg"
"g19-g63","lad",779606,"alg"
"g19-g64","lad",671,"alg"
"g19-g65","lad",95662,"alg"
"g19-g66-normed","lad",96124,"alg"
"g19-g68","lad",1e+08,"alg"
"g19-g72","lad",0,"alg"
"g19-g73-normed","lad",1e+08,"alg"
"g19-g74","lad",168,"alg"
"g19-g75","lad",295,"alg"
"g19-g77","lad",1978,"alg"
"g19-g78","lad",1690014,"alg"
"g19-g79","lad",15,"alg"
"g19-g81","lad",355818,"alg"
"g19-g82-normed","lad",356328,"alg"
"g19-g83","lad",136282,"alg"
"g19-g87","lad",1624,"alg"
"g19-g88","lad",16435,"alg"
"g19-g91","lad",15,"alg"
"g19-g92","lad",18,"alg"
"g19-g93-normed","lad",13740,"alg"
"g19-g94","lad",64,"alg"
"g19-g95","lad",7,"alg"
"g19-g96","lad",11,"alg"
"g19-g97","lad",8,"alg"
"g19-g98","lad",26,"alg"
"g19-g99","lad",23,"alg"
"g2-g102","lad",306,"alg"
"g2-g103","lad",322,"alg"
"g2-g104","lad",320,"alg"
"g2-g105","lad",331,"alg"
"g2-g106","lad",881,"alg"
"g2-g107","lad",581,"alg"
"g2-g108","lad",649,"alg"
"g2-g109","lad",1326,"alg"
"g2-g110","lad",1601,"alg"
"g2-g111","lad",957,"alg"
"g2-g112","lad",1770,"alg"
"g2-g26","lad",0,"alg"
"g2-g77","lad",141,"alg"
"g2-g93-normed","lad",781,"alg"
"g2-g96","lad",65,"alg"
"g2-g97","lad",78,"alg"
"g2-g98","lad",84,"alg"
"g2-g99","lad",78,"alg"
"g20-g110","lad",112,"alg"
"g20-g40","lad",1e+08,"alg"
"g20-g50","lad",1e+08,"alg"
"g20-g64","lad",1e+08,"alg"
"g20-g68","lad",1499,"alg"
"g20-g76","lad",1943,"alg"
"g20-g77","lad",3099,"alg"
"g20-g84","lad",5959,"alg"
"g20-g93-normed","lad",16955972,"alg"
"g21-g64","lad",92,"alg"
"g21-g76","lad",3822,"alg"
"g21-g77","lad",7770,"alg"
"g21-g84","lad",20922,"alg"
"g21-g93-normed","lad",79076,"alg"
